IC5376;8.99;0.51;-0.35;0.16;0.57;1.17;8.50;0.05;1.24;0.03
UGC00005;8.97;0.42;-0.31;0.13;0.26;0.83;8.54;0.06;1.30;0.04
NGC7819;8.68;0.45;-0.29;0.11;0.10;0.62;8.47;0.07;0.90;0.08
IC1528;8.75;0.54;-0.34;0.14;0.22;0.82;8.47;0.08;0.77;0.03
UGC00036;9.42;0.26;-0.17;0.12;0.10;0.69;8.52;0.06;1.33;0.09
NGC0001;8.89;0.49;-0.35;0.13;0.51;0.96;8.55;0.06;1.59;0.06
NGC0036;9.30;0.42;-0.34;0.14;0.22;0.78;8.53;0.06;1.31;0.03
MCG-02-02-030;9.11;0.35;-0.33;0.14;0.10;0.11;8.53;0.06;0.88;0.04
UGC00312;8.44;0.45;-0.33;0.14;0.26;0.70;8.31;0.07;0.54;0.03
UGC00335NED02;9.43;0.42;-0.31;0.16;0.11;0.62;nan;nan;0.93;0.93
NGC0169;9.00;0.73;-0.26;0.15;0.79;1.60;8.53;0.06;1.73;0.11
NGC0171;9.18;0.29;-0.21;0.13;0.04;0.72;8.54;0.06;0.59;0.02
NGC0180;8.34;0.55;-0.24;0.16;0.77;0.41;8.56;0.06;0.75;0.04
NGC0192;9.39;0.30;-0.34;0.13;0.19;1.01;8.52;0.06;1.92;0.21
NGC0216;8.75;0.44;-0.28;0.16;0.09;0.51;8.37;0.06;0.40;0.02
NGC0237;8.79;0.26;-0.33;0.12;0.11;0.88;8.50;0.06;0.83;0.03
IC1652;8.19;0.48;-0.26;0.14;0.83;1.66;nan;nan;nan;nan
NGC0444;8.69;0.41;-0.30;0.12;0.17;0.99;8.40;0.06;0.53;0.02
UGC00809;8.77;0.52;-0.26;0.18;0.18;0.91;8.42;0.07;0.95;0.04
UGC00841;8.62;0.64;-0.30;0.14;0.39;0.79;8.48;0.07;1.04;0.05
NGC0477;8.89;0.39;-0.33;0.12;0.09;0.49;8.48;0.08;0.91;0.02
IC1683;9.31;0.37;-0.24;0.14;0.26;1.11;8.55;0.06;2.02;0.28
NGC0499;9.69;0.26;-0.17;0.19;0.09;0.65;8.52;0.08;6.48;3.34
NGC0496;8.74;0.34;-0.31;0.10;0.27;1.03;8.48;0.07;0.99;0.03
NGC0528;9.62;0.27;-0.21;0.16;0.02;0.36;nan;nan;2.70;1.60
UGC01057;8.38;0.55;-0.29;0.11;0.25;0.68;8.41;0.08;0.71;0.02
NGC0774;9.59;0.23;-0.20;0.13;0.06;0.58;8.51;0.06;0.32;0.32
NGC0776;9.26;0.28;-0.30;0.14;0.16;0.98;8.56;0.06;1.00;0.04
NGC0810;9.59;0.44;-0.21;0.16;0.11;0.87;nan;nan;0.73;0.73
NGC0825;9.34;0.36;-0.33;0.16;0.19;1.08;8.47;0.06;0.96;0.06
UGC01938;8.54;0.42;-0.26;0.11;0.29;0.89;8.42;0.07;0.89;0.03
NGC1056;8.96;0.40;-0.38;0.13;0.55;1.78;8.44;0.05;1.55;0.09
UGC02222;9.25;0.63;-0.22;0.13;0.14;0.67;nan;nan;0.99;0.59
UGC02229;9.44;0.39;-0.22;0.13;0.18;1.18;nan;nan;1.39;0.15
UGC02403;9.10;0.42;-0.33;0.14;0.41;1.46;8.54;0.05;2.31;0.28
NGC1349;9.20;0.55;-0.21;0.17;0.14;0.86;8.51;0.06;0.94;0.06
NGC1542;8.79;0.49;-0.22;0.16;0.49;1.09;8.51;0.06;1.80;0.10
UGC03107;8.73;0.48;-0.23;0.12;0.28;1.05;8.52;0.06;1.45;0.07
NGC1645;9.11;0.52;-0.19;0.14;0.08;0.48;8.51;0.06;0.47;0.02
IC2095;8.27;0.45;-0.24;0.13;0.27;0.80;8.27;0.10;0.37;0.04
UGC03253;8.29;0.30;-0.26;0.10;1.18;1.78;8.50;0.07;1.12;0.05
NGC2253;8.80;0.37;-0.36;0.12;0.30;0.74;8.55;0.05;1.13;0.04
UGC03539;8.63;0.52;-0.28;0.14;0.73;1.44;8.45;0.07;1.30;0.06
NGC2347;8.64;0.54;-0.33;0.14;0.25;0.66;8.50;0.08;0.68;0.02
UGC03899;8.01;0.43;-0.26;0.13;0.25;0.64;8.27;0.08;0.55;0.04
NGC2410;9.20;0.29;-0.27;0.13;0.34;1.04;8.49;0.05;1.56;0.10
UGC03969;9.09;0.37;-0.22;0.16;0.58;1.80;8.50;0.05;1.64;0.08
UGC03995;9.29;0.45;-0.30;0.15;0.16;0.87;8.51;0.06;0.82;0.05
NGC2449;9.04;0.53;-0.21;0.14;0.49;1.21;8.56;0.06;0.94;0.05
UGC04132;8.86;0.33;-0.27;0.13;0.61;1.45;8.52;0.05;1.65;0.05
UGC04722;7.93;0.46;-0.26;0.12;0.27;0.54;8.26;0.10;0.33;0.02
NGC2730;7.81;0.34;-0.36;0.12;0.95;0.17;8.46;0.05;0.54;0.01
NGC2880;9.70;0.25;-0.25;0.16;-0.00;0.17;nan;nan;nan;nan
IC2487;8.86;0.57;-0.37;0.14;0.38;0.92;8.49;0.07;1.10;0.03
IC0540;9.14;0.59;-0.30;0.15;0.41;1.17;nan;nan;1.69;0.16
NGC2906;9.42;0.29;-0.31;0.16;0.12;0.76;8.57;0.05;0.81;0.02
NGC2916;8.94;0.39;-0.31;0.12;0.10;0.68;8.53;0.06;0.64;0.03
UGC05108;9.14;0.34;-0.18;0.11;0.14;0.70;8.50;0.06;1.95;0.26
UGC05358;8.63;0.32;-0.24;0.13;0.22;0.70;8.35;0.07;0.70;0.08
UGC05359;8.70;0.56;-0.24;0.12;0.34;0.95;8.47;0.09;1.01;0.04
UGC05396;9.00;0.29;-0.23;0.11;0.21;1.10;8.47;0.06;0.87;0.04
NGC3106;9.49;0.33;-0.23;0.15;0.12;0.79;8.51;0.05;1.08;0.03
UGC05498NED01;9.25;0.41;-0.22;0.14;0.41;1.19;8.49;0.08;1.21;0.06
NGC3160;9.20;0.48;-0.11;0.11;0.15;0.81;nan;nan;3.20;0.52
UGC05598;8.73;0.43;-0.32;0.12;0.45;1.07;8.46;0.06;1.12;0.05
NGC3303;9.54;0.20;-0.25;0.13;0.10;0.82;8.53;0.06;1.42;0.14
UGC05771;9.61;0.22;-0.24;0.15;0.08;0.50;8.50;0.06;0.52;0.22
NGC3381;8.81;0.27;-0.33;0.11;0.05;0.59;8.50;0.05;0.37;0.02
UGC06036;9.51;0.32;-0.12;0.15;0.19;0.84;8.52;0.05;1.68;0.09
IC0674;9.09;0.46;-0.25;0.14;0.26;0.85;8.47;0.07;0.58;0.02
NGC3614;9.22;0.26;-0.42;0.09;0.06;0.61;8.53;0.06;0.74;0.01
NGC3811;8.93;0.34;-0.35;0.11;0.13;0.72;8.52;0.05;0.94;0.04
NGC3991;8.31;0.46;-0.20;0.13;0.11;0.68;8.33;0.06;0.37;0.03
NGC3994;8.97;0.29;-0.29;0.15;0.18;0.90;8.49;0.05;0.99;0.06
NGC4003;9.59;0.16;-0.15;0.16;0.05;0.50;8.52;0.07;2.09;0.30
UGC07012;8.41;0.51;-0.26;0.11;0.14;0.53;8.38;0.08;0.41;0.02
NGC4149;9.15;0.60;-0.31;0.17;0.23;0.96;8.52;0.05;1.56;0.11
NGC4185;9.41;0.22;-0.28;0.11;0.03;0.55;8.53;0.06;0.87;0.01
NGC4210;9.09;0.30;-0.32;0.11;0.08;0.73;8.54;0.06;0.57;0.01
IC0776;8.34;0.54;-0.27;0.11;0.14;0.58;8.30;0.06;0.16;0.00
NGC4470;9.01;0.29;-0.38;0.14;0.10;0.81;8.46;0.05;0.48;0.01
NGC4644;8.98;0.43;-0.13;0.13;0.16;0.85;8.55;0.06;1.14;0.14
NGC4676A;9.30;0.28;-0.20;0.13;0.26;1.58;8.50;0.05;1.42;0.10
NGC4874;9.83;0.14;-0.21;0.17;0.00;0.17;nan;nan;nan;nan
UGC08107;9.16;0.35;-0.26;0.15;0.33;1.41;8.47;0.05;1.51;0.08
UGC08231;8.12;0.36;-0.26;0.12;0.10;0.43;8.27;0.07;0.14;0.01
UGC08234;9.10;0.42;-0.17;0.13;0.16;0.73;nan;nan;nan;nan
NGC5000;9.08;0.36;-0.18;0.11;0.09;0.55;8.52;0.07;1.26;0.12
UGC08250;8.65;0.46;-0.29;0.13;0.59;1.39;8.41;0.07;0.78;0.04
UGC08267;9.15;0.38;-0.22;0.10;0.48;1.43;8.53;0.05;2.16;0.11
NGC5205;8.99;0.39;-0.33;0.13;0.08;0.47;8.52;0.06;0.74;0.02
NGC5216;9.56;0.20;-0.22;0.15;0.01;0.35;8.48;0.06;0.07;0.07
UGC08733;8.75;0.37;-0.27;0.12;0.09;0.80;8.37;0.08;0.26;0.01
IC0944;9.51;0.32;-0.24;0.11;0.25;1.18;8.51;0.06;1.96;0.07
UGC08778;9.26;0.40;-0.31;0.15;0.23;0.84;8.52;0.05;1.05;0.05
UGC08781;9.29;0.27;-0.19;0.12;0.05;0.52;8.52;0.06;1.01;0.03
NGC5378;9.48;0.27;-0.27;0.12;0.08;0.75;8.50;0.06;1.12;0.04
