IC;5376;,001,00;:01:19.77,+34:31:32.52,0.0166,10.65,0.10,0.006,0.105
UG;C000;05,002,;00:03:05.63,-01:54:49.67,0.0240,11.16,0.08,0.867,0.066
NG;C781;9,003,0;0:04:24.50,+31:28:19.20,0.0165,10.61,0.08,0.412,0.067
IC;1528;,005,00;:05:05.37,-07:05:36.23,0.0125,10.54,0.11,0.197,0.064
UG;C000;36,007,;00:05:13.87,+06:46:19.20,0.0208,11.06,0.09,0.186,0.134
NG;C000;1,008,0;0:07:15.86,+27:42:29.16,0.0149,10.82,0.10,0.649,0.063
NG;C003;6,010,0;0:11:22.29,+06:23:21.84,0.0197,11.22,0.10,0.535,0.096
MC;G-02;-02-030;,013,00:30:07.31,-11:06:48.95,0.0115,10.68,0.10,-0.017,0.079
UG;C003;12,014,;00:31:23.92,+08:28:00.11,0.0144,10.35,0.10,0.642,0.053
UG;C003;35NED02;,017,00:33:57.31,+07:16:05.87,0.0179,10.82,0.09,-0.857,0.476
NG;C016;9,022,0;0:36:51.59,+23:59:27.59,0.0153,10.90,0.09,0.500,0.097
NG;C017;1,023,0;0:37:21.55,-19:56:03.12,0.0128,10.93,0.08,0.035,0.116
NG;C018;0,025,0;0:37:57.69,+08:38:06.71,0.0173,11.01,0.08,0.537,0.120
NG;C019;2,026,0;0:39:13.41,+00:51:51.11,0.0136,10.93,0.12,0.459,0.075
NG;C021;6,027,0;0:41:27.16,-21:02:40.91,0.0051,9.64,0.08,-0.502,0.059
NG;C023;7,030,0;0:43:27.83,-00:07:29.,0.0136,10.59,0.10,0.407,0.057
IC;1652;,037,01;:14:56.28,+31:56:54.59,0.0155,10.60,0.09,-0.800,0.334
NG;C044;4,039,0;1:15:49.55,+31:04:50.16,0.0159,10.25,0.11,-0.176,0.088
UG;C008;09,040,;01:15:51.83,+33:48:38.51,0.0138,9.99,0.12,-0.135,0.075
UG;C008;41,041,;01:19:10.03,+33:01:50.15,0.0183,10.31,0.13,-0.027,0.093
NG;C047;7,042,0;1:21:20.47,+40:29:17.16,0.0195,10.89,0.11,0.492,0.084
IC;1683;,043,01;:22:38.92,+34:26:13.56,0.0160,10.76,0.11,0.537,0.066
NG;C049;9,044,0;1:23:11.49,+33:27:36.72,0.0146,11.34,0.09,1.218,0.421
NG;C049;6,045,0;1:23:11.59,+33:31:45.47,0.0200,10.84,0.12,0.659,0.072
NG;C052;8,050,0;1:25:33.57,+33:40:17.03,0.0156,11.05,0.10,-0.157,0.328
UG;C010;57,053,;01:28:53.25,+13:47:37.67,0.0210,10.63,0.12,0.373,0.069
NG;C077;4,072,0;1:59:34.72,+14:00:29.52,0.0151,11.02,0.10,-0.906,0.248
NG;C077;6,073,0;1:59:54.52,+23:38:39.48,0.0161,11.08,0.09,0.616,0.066
NG;C081;0,076,0;2:05:28.56,+13:15:05.75,0.0257,11.48,0.10,-0.436,0.395
NG;C082;5,077,0;2:08:32.32,+06:19:25.31,0.0110,10.63,0.10,-0.702,0.176
UG;C019;38,088,;02:28:22.12,+23:12:52.56,0.0211,10.65,0.14,0.373,0.079
NG;C105;6,100,0;2:42:48.31,+28:34:27.12,0.0053,10.20,0.10,0.095,0.059
UG;C022;22,103,;02:45:09.67,+32:59:22.91,0.0162,10.93,0.10,-0.722,0.419
UG;C022;29,104,;02:45:27.57,+00:54:51.,0.0241,11.15,0.08,-0.179,0.274
UG;C024;03,115,;02:55:57.26,+00:41:33.36,0.0137,10.59,0.11,0.510,0.072
NG;C134;9,127,0;3:31:27.50,+04:22:51.24,0.0218,11.33,0.09,0.078,0.270
NG;C154;2,131,0;4:17:14.18,+04:46:54.11,0.0123,10.55,0.10,-0.024,0.127
UG;C031;07,133,;04:37:21.83,+09:32:40.92,0.0277,10.88,0.11,0.685,0.095
NG;C164;5,134,0;4:44:06.40,-05:27:56.,0.0159,11.03,0.09,-0.279,0.215
IC;2095;,141,04;:48:45.88,-05:07:28.56,0.0091,9.00,0.14,-0.746,0.075
UG;C032;53,146,;05:19:41.87,+84:03:09.35,0.0136,10.63,0.10,0.231,0.106
NG;C225;3,147,0;6:43:41.83,+65:12:23.04,0.0118,10.80,0.10,0.495,0.061
UG;C035;39,148,;06:48:53.99,+66:15:41.76,0.0107,9.83,0.12,-0.169,0.089
NG;C234;7,149,0;7:16:04.07,+64:42:40.67,0.0146,11.04,0.10,0.542,0.066
UG;C038;99,150,;07:32:37.75,+35:36:52.19,0.0128,9.59,0.13,-0.238,0.072
NG;C241;0,151,0;7:35:02.25,+32:49:19.55,0.0153,11.03,0.09,0.549,0.112
UG;C039;69,153,;07:41:14.35,+27:36:50.76,0.0269,10.73,0.10,0.551,0.084
UG;C039;95,155,;07:44:09.11,+29:14:50.63,0.0157,11.15,0.08,0.247,0.138
